name,good,good_pos
Белькандо сух. 1кг беззерновой Файнест,,"(0, 0)"
Колбаса Докторская вар. Железногорск Синютина,колбаса,"(0, 7)"
2000140778263 МУЖСКИЕ БРЮКИ          R    ,брюки,"(22, 27)"
4610014318310                 СЫР ТИЛЬЗИТЕР СВАЛЯ*,сыр,"(30, 33)"
10: 412-004. LADECOR Аромадиффузор с палочками и (412-004),аромадиффузор,"(21, 34)"
"Мыло ""Safeguard"" медовое 90гр. Украина",мыло,"(0, 4)"
Рулет Маковый десерт в упаковке 250 г,рулет,"(0, 5)"
Шпроты премиум ключ вм 160 г За родину,шпроты,"(0, 6)"
2) YD255-59X-K31 НОСКИ ДЛЯ МАЛЬЧИКА,носки,"(17, 22)"
"Любимый сад 0,95л нектар Солнечный нектарин (ябл/перс/нект)",нектар,"(18, 24)"
Клей канцелярский E.KRAUSE 50мл губка,клей,"(0, 4)"
Сыр Российский 50% Самара кг,сыр,"(0, 3)"
Голень замороженная,голень,"(0, 6)"
ЯЙЦО ИРТЫШСКОЕ ХАЛЯЛЬ ОТБОРНОЕ 10ШТ П/К,яйцо,"(0, 4)"
"46OF55AE3 БРЮКИ (911, 44, 21A)",брюки,"(10, 15)"
*28705 Хурма Азербайджан вес,хурма,"(7, 12)"
СИ-Соус барбекю классический 220г MOUTARDERIE ,соус,"(3, 7)"
Трусы купальные женские/ 294064 BLACK MESH (Черный (006 black)/42 (36)/),трусы,"(0, 5)"
Печенье Пальчики с лимоном 1кг Московия,печенье,"(0, 7)"
Рулька свиная б/к в/к (Знаменский МК),рулька,"(0, 6)"
"Игрушка TRIOL д/собак из винила ""Морская звезда"", 125мм*240",игрушка,"(0, 7)"
Макароны  BARILLA  Фузилли 500г,макароны,"(0, 8)"
*001* 103268-AA 43-46 Носки для активного отдыха (1 пара) серый р. 43-46.,носки,"(22, 27)"
Рулет кур.паровой,рулет,"(0, 5)"
Завертка RENZ ВК 02 GP лат.блест. шт,завертка,"(0, 8)"
Bonibelle Natural Pearl Daily Solution Mask Тканевая маска для лица с жемчужным порошком25 ml,маска,"(53, 58)"
Шоколад DOVE молочный90г,шоколад,"(0, 7)"
БЕЙСБОЛКА УЗ ЖЕЛТАЯ,бейсболка,"(0, 9)"
Сосиски Молочные ГОСТ защ.464г Дымов,сосиски,"(0, 7)"
Соус SEN SOY соевый 250мл ст/б Пряный,соус,"(0, 4)"
"00013137 Мандарины Марокко 1,0кг",мандарины,"(9, 18)"
Мыло жидкое Чистая Линия Двойное увлажне,мыло,"(0, 4)"
"236 Вода ""Новотерская"" 1,5 л",вода,"(4, 8)"
напиток Несквик м\у 250гр,напиток,"(0, 7)"
"Пена монтажная ""ТехноSTAB МАХ"" Бытовая, всесезонная шт.",пена монтажная,"(0, 14)"
"Сливки Белый город 33% 0,2кг для взбивания БЗМЖ",сливки,"(0, 6)"
8481 Масло моторное  Gazpromneft Pre,масло,"(5, 10)"
"140348 Ручка гелевая ""Пиши-стирай"" синяя AN 3176D",ручка,"(7, 12)"
бульмени со сливочным маслом  горячая штучка 900г(шт),бульмени,"(0, 8)"
Шампунь HEAD & SHOULDERS Ментол 900 мл,шампунь,"(0, 7)"
"9040802шт, Клейкая лента 12*1м ""deVente"" 40мкм цветная полипроп./ в банке 90 шт",лента,"(19, 24)"
Лейка Zebratoys cадовая 15-5383.,лейка,"(0, 5)"
4 2456587212073 2шт Колгот/MIRE/CLAS,колгот,"(20, 26)"
"Напиток сыв Фитнес Апел-Лимонад Пэт бут 0,27л Село Зеленое",напиток,"(0, 7)"
"Кепка капитанка STARKOFF ХЛОПОК 19 (-59,сафари)",кепка,"(0, 5)"
"Сверло ц/х  5,5  (l=57, L=93) Р6М5 кл.В (10317110/190519/3000011, Китай) шт",сверло,"(0, 6)"
"Сок Сады Придонья яблоко-шиповник 0,2",сок,"(0, 3)"
Клей POXIPOL метал син упак 14мл/21г шт,клей,"(0, 4)"
Сливки ДОМИК В ДЕРЕВНЕ стерилизованные 480 мл 10%,сливки,"(0, 6)"
Конфеты Коркунов Асс.темн.мол.шок.цел./дроб фундук 192г кор,конфеты,"(0, 7)"
Леденцы Orbit,леденцы,"(0, 7)"
Хрящики Каприз в/к 150гр. в/у,хрящики,"(0, 7)"
"Духи Дух духов ""Шансита""/""SHANSITA"" 16 мл в футляре (шт)",духи,"(0, 4)"
"Джемпер (327446125033,M,5234)",джемпер,"(0, 7)"
"Полотенце Verossa Reticolo 70*140, белый (Гарантия - ОнЛайн Трей",полотенце,"(0, 9)"
10449 Сальник 90311-42026 / 42036 Продавец: Дмитрий,сальник,"(6, 13)"
LD Impulse compact 100S капсула,капсула,"(24, 31)"
Баранки ванильные 400г /По,баранки,"(0, 7)"
2000122319842 МУЖСКАЯ СОРОЧКА        R    ,сорочка,"(22, 29)"
Чулки Teatro LM094498103,чулки,"(0, 5)"
1016645 Блузка S Белый        ,блузка,"(8, 14)"
Точилка BERLINGO NeonBox BBp_15008,точилка,"(0, 7)"
Кроссовки женские JET  TEAM PADEL,кроссовки,"(0, 9)"
Папка - скоросшиватель А4 Бюрократ серый,папка,"(0, 5)"
Трубочка вафельная РОСТАГРОЭКСПОРТ с вар. сгущ. СЗМЖ 70 г.,трубочка,"(0, 8)"
Арахис Китай соленый 0.164кг,арахис,"(0, 6)"
Перец Дядя Ваня Чили 340г ст/б Аксиома,перец,"(0, 5)"
"50457861 Юбка (36, Black, 4047395308133)",юбка,"(9, 13)"
ГРАНОВСКАЯ КУНЖУТКА ПЕЧЕНЬЕ 1КГ КДВ,печенье,"(20, 27)"
Валик полиакриловый 11/240/47мм желтая нить,валик,"(0, 5)"
Газовая плита Gefest 1200-С 6 K 19 шт.,плита,"(8, 13)"
"пресервы сельдь в томат.соусе 0,4кг ОИ",сельдь,"(9, 15)"
Секатор контактный с рычажным приводом FISKARS 111330 (1001532),секатор,"(0, 7)"
Аккумулятор VIDEX,аккумулятор,"(0, 11)"
"Печенье Кокосовое, 200г",печенье,"(0, 7)"
"M4852AZ куртка (XS, NM40-BLACK, 20 SP)",куртка,"(8, 14)"
КОКА - КОЛА ГАЗ.ВОДА 1Л ПЭТ (12),вода,"(16, 20)"
1/1 Вода для инъекций буфус 2мл №10,вода,"(4, 8)"
"Шприц рычажно-плунжерный 500 мл под тубу ""Сервис Ключ"" PROFFI шт",шприц,"(0, 5)"
Ром Бакарди Карта Бланка 40мл,ром,"(0, 3)"
1/14 Торасемид-СЗ таб. 5мг №60 325р. за упак,,"(0, 0)"
52T00509-1T005328 Футболка Trussardi (синий) (2XL),футболка,"(18, 26)"
ЩЕТКА С/О ALKA 53СМ,щетка,"(0, 5)"
"Вода минеральная Пилигрим питьевая столовая газ 1,5л",вода,"(0, 4)"
Бифидумбактерин пак пор 5доз №10,,"(0, 0)"
"Лента HPX (HPX 13202 двустор.пленочная, 9мм х 0,25мм х 50м, основа - прозр., подложка - розовая, акриловый клей) шт",лента,"(0, 5)"
Тройник 110x110/45,тройник,"(0, 7)"
Яйцо кур СМЕТАНИНО С1 термо 20шт,яйцо,"(0, 4)"
Морс Облепиховый ланч,морс,"(0, 4)"
"Мин вода Елисеевская 0,5л пэт негаз/СПЗ",вода,"(4, 8)"
Перчатки латексные L DERMAGRIP,перчатки,"(0, 8)"
3699187 ИЗ ВОЛОГДЫ Сметана 15% 180г,сметана,"(19, 26)"
Кисть макияжная двухсторонняя для теней с аппликатором,кисть,"(0, 5)"
"Наропин 5 мг/мл 10 мл №5 амп (21-TAEA '10', 31.08.2021)",,"(0, 0)"
Корректор Workmate с кисточкой спиртовой 20мл,корректор,"(0, 9)"
Стейк перечный с овощами гриль,стейк,"(0, 5)"
"Зубная щетка с мягкой щетиной, Голубой",зубная щетка,"(0, 12)"
Бульон Роллтон 100г 2 в 1,бульон,"(0, 6)"
"Ткань палаточн. ш.1,50 уценка м",ткань,"(0, 5)"
Бизнес суп рыбный 2 порц.,суп,"(7, 10)"
Шоколад Вдохновение грецкий орех 100г,шоколад,"(0, 7)"
Чипсы Lays 90г Ассортимент,чипсы,"(0, 5)"
Хлеб зерновой 250 гр.,хлеб,"(0, 4)"
"платье, арт: 220BBGMC50021020-122*60*54",платье,"(0, 6)"
Чехол / DF для iPhone XR  (iCase-11),чехол,"(0, 5)"
Пакет-майка 42х66 50шт.уп /Техника/ (500) Х тысяча штук,пакет,"(0, 5)"
"Фломастеры Каляка-Маляка 36 цв., вент. колп, блист. упак., кругл. корп., 3+",фломастеры,"(0, 10)"
Мыло детское Ушастый нянь ромашка 90гр (,мыло,"(0, 4)"
"Блокнот А7 40 л. на гребне ""Funny puppy"" (ассорти) выборочный л",блокнот,"(0, 7)"
Чехол д/глад. доски Special 125*46 см,чехол,"(0, 5)"
Шампунь для волос ЧИСТАЯ ЛИНИЯ 400мл Укрепляющий муж 1/12,шампунь,"(0, 7)"
Колбаса Краковская п/к в/с /цена за кг/ Ратимир,колбаса,"(0, 7)"
"Дезинфицирующее средство Анолит АНК СУПЕР, 500мл",дезинфицирующее средство,"(0, 24)"
Пельмени Мираторг 800г Мясные,пельмени,"(0, 8)"
Шеба Плеже 85г Гов/Кур/Тел-язык,,"(0, 0)"
Текила санрайз 250 мл.ПАБ,текила,"(0, 6)"
"Термопленка Marpe 80см*0,338мм*100м М=176W м",термопленка,"(0, 11)"
2: 14106150 Брелок A33752,брелок,"(12, 18)"
Маска для лица Vichy LM077112214,маска,"(0, 5)"
"Фломастеры 12цв Каляка кисточки,",фломастеры,"(0, 10)"
Батончик БОНТАЙМ 20гр КДВ Россия,батончик,"(0, 8)"
"Декоративная клейкая лента МЕТАЛЛИК, намотка 1 м, ширина 1,2 см, 90 шт в банке ЦЕНА ЗА БАНКУ(шт)",лента,"(21, 26)"
4 2157456344900 Шумовка 35/Fack/2946,шумовка,"(16, 23)"
Билет ЭКСПРЕСС-АВТОБУС 1000000099091207,билет,"(0, 5)"
Сметана Хозяйство Васильевой 20% 200г БЗМЖ,сметана,"(0, 7)"
"ХЛЕБ ЧИАБАТТА ВЕС 0,332 кг.",хлеб,"(0, 4)"
370400 Брюки жен. MRM03.1783020.V0/059 / M,брюки,"(7, 12)"
"Квас Жёлтая Бочка ПЭТ 3,5л, Три сосны (Ульяновск, разлит 20.05.2019, до 15.11.2019, РОССИЯ, ИНН/КПП",квас,"(0, 4)"
6 2456601890973 Маска Могу/POWE/E770,маска,"(16, 21)"
Бита TORX 20 х 50 GROSS (Цена за 1шт) 11470 шт,бита,"(0, 4)"
Яшкино Голландские с карам.начинкой вафли 290г,вафли,"(36, 41)"
Съемник пружин 250 мм УСИЛЕННЫЙ компл,съемник,"(0, 7)"
Сок (АКЦИЯ),сок,"(0, 3)"
"""ФАЙН ЛАЙФ"" ТУАЛЕТНАЯ БУМАГА 2СЛ. 4РУЛ. ",бумага,"(22, 28)"
"Напиток SIFON ср. газ. 1,5л в ас-те",напиток,"(0, 7)"
Шапка Calvin Klein Jeans LM113856984,шапка,"(0, 5)"
"Горох Амброзия, сахарный 6 г ХИТ х3 шт",горох,"(0, 5)"
Пила ручная TAJIMA Japan Pull с прямой обрезиненой ручкой JPR265R/Y1,пила,"(0, 4)"
"Винтовка пневм. Hatsan 125 (переломка, пластик), кал.4,5 мм №0320 00565  3/7-34",винтовка,"(0, 8)"
1/1 4988941* Салицинкгель-скраб для умывания от черных точек 150мл,гель-скраб,"(21, 31)"
107820-BW 52-54 Джемпер мужской черный/белый р. 52-54,джемпер,"(16, 23)"
Творог Савушкин 101 зерно+сливки Персик-,творог,"(0, 6)"
"4. Смеситель одноручный (35мм) для кухни с высоким изливом A35-25 Rossinka, шт",смеситель,"(3, 12)"
"Попкорн ""Бумс"" 100г карамель",попкорн,"(0, 7)"
ПИЦЦА Д-Р ОТКЕР 360ГР ФЕЛИЧИАНА САЛЯМИ И ЧОРИЗО К/К ГЕРМАНИЯ,пицца,"(0, 5)"
!ВБД Агуша Йогурт 200г бут.,йогурт,"(11, 17)"
Салфетки д/уборки Кузьмич 180л,салфетки,"(0, 8)"
GRANDORF сухой  гипоаллергенный корм для собак всех пород 4 вида мяса\рис 1кг,корм,"(32, 36)"
Пластилин  10 цв. 150гр. ПКМ10 Каляка-Маляка,пластилин,"(0, 9)"
Тетрадь предметная 48л -Библиотека знаний- ГЕОМЕТРИЯ,тетрадь,"(0, 7)"
Ручка шар. син. Berlingo H-30 KS2915,ручка,"(0, 5)"
Мормышка Полимер Конус кр. шапочка,мормышка,"(0, 8)"
[M] Кеды Bershka RU200906-684411-001 T_D-Tx.DtP%Ba,кеды,"(4, 8)"
1) Молоко ультропастер Свитлогорье,молоко,"(3, 9)"
-ИГР.ХБ.Картина по номерам Велосипед 0264,картина,"(8, 15)"
"Пиво Седой Урал 0,45л ст",пиво,"(0, 4)"
Хлеб БКК 400 г Раменский нарезка,хлеб,"(0, 4)"
Датчик износа задних колодок RR 2013-,датчик,"(0, 6)"
Пюре агуша Я САМ,пюре,"(0, 4)"
Трусы женские/ 071225 Invisible Cotton (Коричневый (1794)/48 (L)/),трусы,"(0, 5)"
"Чай GUTENBERG "" Шоколадное фондю"" черный ароматизированный вес",чай,"(0, 3)"
1 2157342657244 БЛУЗКА ЖЕН/PIMK/5616,блузка,"(16, 22)"
Лимонад 1л Черноголовка Экстра-ситро,лимонад,"(0, 7)"
4607017941584 АНТИНАКИПИН  (1 X 23р),антинакипин,"(14, 25)"
Шапка детская р40-42 Сынок зеленый I-3-10,шапка,"(0, 5)"
Корм д/кошек Felix рыба 300г ,корм,"(0, 4)"
***Naturino Сандалии (35),сандалии,"(12, 20)"
1/1 БиСи пинцет,пинцет,"(9, 15)"
"Шпаклевка  ""Профи"" латексная ТЕКС (5кг)",шпаклевка,"(0, 9)"
AXE дезодорант спрей EXCITE 150мл,дезодорант,"(4, 14)"
Сверло-бур SDS+ 6*160 HAGWERT,сверло,"(0, 6)"
Инерционай машинка Handers,машинка,"(11, 18)"
BAT CR2016  3V KODAK       5бл,,"(0, 0)"
Перчатки латек. н/ст. сверхпрочн.р.ХL №100 50пар,перчатки,"(0, 8)"
Соска Mepsi анатом с 0мес 0306/,соска,"(0, 5)"
"Пастила   Яблочная  ""Сладкий апрель"" классич. без сах. 115 гр",пастила,"(0, 7)"
Брелок Johnshen Пушистое сердце,брелок,"(0, 6)"
Китекет 85 гр ягненок в соусе,,"(0, 0)"
Ниппель для термометра,ниппель,"(0, 7)"
"семечка Белочка  250г  и,п волков  россия",,"(0, 0)"
0816423 Шорты 34 Синий,шорты,"(8, 13)"
Лук Ред Барон450 г.,лук,"(0, 3)"
Удилище б/к Mifine Atomic 7m,удилище,"(0, 7)"
Сарафан Агапэ LM083941237,сарафан,"(0, 7)"
ОГУРЦЫ СК.-СМ. МАРИН. ХРУСТЯЩИЕ 6-9СМ 720МЛ,огурцы,"(0, 6)"
079146 Кетчуп Махеевъ чили 500г м/у дозат.,кетчуп,"(7, 13)"
"Сигареты с фильтром ""Marlboro Gold Original"" 125,00 руб.",сигареты,"(0, 8)"
Шпагат полипропилен. цветной 110м/1200текс,шпагат,"(0, 6)"
"6511 | Минеральная Вода ""Горная вершина"" малина 0.5л СПОРТ б/газ",вода,"(19, 23)"
4660015230623 Крючок для колец Прозрачныйупаковка 20шт,крючок,"(14, 20)"
СУСТАМЕД ЖАБИЙ КАМЕНЬ БАЛЬЗАМ АКТИВИР. Д/ТЕЛА МАСЛО РЫЖИКА 50МЛ. ,бальзам,"(22, 29)"
"Кольцевая прокладка на осн. теплобменник 17,86 х 2,62 (5404600) для Main, ЕCO Four (10102030/010220/0001309, ИТАЛИЯ ) шт",прокладка,"(10, 19)"
Автобусный билет №4201730,билет,"(11, 16)"
"Бутылка ПЭТ 0,5л. (100+колпачок)",бутылка,"(0, 7)"
"Совок д/сыпуч. продуктов 0,5л /М5790",совок,"(0, 5)"
"290160202053 Шляпа ""Муж царицы"" (шт)",шляпа,"(13, 18)"
!Ватман А2 594*420мм ГОЗНАК,ватман,"(1, 7)"
"Вольтарен гель 2% 100,0",гель,"(10, 14)"
Картридж Аквабрайт ВП-10М,картридж,"(0, 8)"
"Корм ROYAL CANIN д/кош Компл""Стерилайзд (желе) 3+1 4Х0,085кг",корм,"(0, 4)"
"Лопатка
Лопатка Rondell RD-602",лопатка,"(0, 7)"
"Вино Винтаж кр. п/сл. 12,5 % т/пак 1,0л (Россия)",вино,"(0, 4)"
Hask Tea Tree МЖ Товар Маска укрепляющая с маслом чайного дерева и экстрактом ро,маска,"(23, 28)"
"Помада AV, Vogue, т.107",помада,"(0, 6)"
1) Автошина 205/70/R15 Viatti Bosco Nordico V-52,автошина,"(3, 11)"
Прокладка гидронатяжителя,прокладка,"(0, 9)"
Приправа ТМ Айдиго Прованские травы 10г,приправа,"(0, 8)"
НЕВСКАЯ КОСМЕТИКА Мыло Дегтярное 140 гр (48),мыло,"(18, 22)"
3 2456556513064 Полотенце /Рома/Афро,полотенце,"(16, 25)"
02T6403_CD Дет. Футболка Freestyle (красный) (14),футболка,"(16, 24)"
"Оливье (л) 0,259 кг.",оливье,"(0, 6)"
КРУПА РИСОВ ШЛИФОВ 1С НАЦИОНАЛЬ ЛАЗЕР 80,крупа,"(0, 5)"
Свеча пеньковая 70*170 белая шт,свеча,"(0, 5)"
"Творог домашний 0,5 кг",творог,"(0, 6)"
"Блесна Side Winder S180 (Acme), колеблющаяся, масса 3,5 г, цвет G шт",блесна,"(0, 6)"
бобс леденцы от кашля 35г n10 мед/лимон,леденцы,"(5, 12)"
"Набор инструментов для лепки Гамма ""Му",,"(0, 0)"
"Краска акрил. Таир ""Acryl Art""  20мл розовый яркий 0203076",краска,"(0, 6)"
"ВИНО ГИНЕВАН ГРАНАТОВОЕ КР/СУХ 0,75 Л АРМЕНИЯ",вино,"(0, 4)"
батончик Яшкино Супер 40 гр,батончик,"(0, 8)"
"Пиво светлое непастеризованное ""Жигулевское"" 0,5л. стекло",пиво,"(0, 4)"
"Пиво ""ВАЙС БЕРГ"" Пшеничное 4,7% Бочкари ст\б 0,5л",пиво,"(0, 4)"
Патчи для глаз Limoni LM095937982,патчи,"(0, 5)"
"ПОЛО Lacoste L1212 (056, T4#)",поло,"(0, 4)"
"КОНЬЯК ПЯТЬ ЗВЕЗДОЧЕК ЗОЛОТАЯ ВЫДЕРЖКА 5 ЛЕТ 40% 0,45Л",коньяк,"(0, 6)"
Лафройг 10 50мл                                 ЦЕНА 950.00 НАЦЕНКА 95.00,,"(0, 0)"
"TetraMin 250мл Основной корм для всех видов аквариумных рыб, хлопья",корм,"(24, 28)"
"Майка мужская, арт.20015",майка,"(0, 5)"
(PATERRA) Рукав д/запекания 3м (209-009),рукав,"(10, 15)"
"4610014915267:Смеситель РМС (шт), SL52-011F, для кухни, с высоки",смеситель,"(14, 23)"
КАБЕЛЬ ВВГ -П 2* 1.5 БЕЛЫЙ,кабель,"(0, 6)"
Брикет Пломбир настоящий 15%  80гр(Русский Холод) Б.З.М.Ж.,пломбир,"(7, 14)"
Текила Sierra Reposado 38% 0.04л,текила,"(0, 6)"
"50461307 Брюки женские (32, Black, 4047395219224)",брюки,"(9, 14)"
ППРС Тройник соед. Ду 50,тройник,"(5, 12)"
10 2157470885946 Полотенце /BRIE/1607,полотенце,"(17, 26)"
ПЕКАН&КАРАМЕЛЬ,пекан,"(0, 5)"
"Ценник липкий ""Цена"" (20*30) арт.100-115 КРАСНЫЙ в рул.200шт.",ценник,"(0, 6)"
Рулет Творожно-брусничный Владхлеб,рулет,"(0, 5)"
Чудо Молоко ароматизированное Грильяж 2% 960г,молоко,"(5, 11)"
"Хлеб Подовый 0,35кг нарез",хлеб,"(0, 4)"
"Кетчуп  ""Махеевъ"" Чили д/п 500 г.",кетчуп,"(0, 6)"
Жевательная резинка Dirol Х-Fresh Ледяной мандарин 16г,жевательная резинка,"(0, 19)"
Куртка утепленная Icebear LM075699135,куртка,"(0, 6)"
Овсянка с мороженым и клубничным пюре,овсянка,"(0, 7)"
"Мыло жидкое ""Aura"" дозатор 0.3мл",мыло,"(0, 4)"
"Шапка, арт: 12032GBC7305-48*50",шапка,"(0, 5)"
"Гексэтидин спрей 0,2% фл. 40мл",,"(0, 0)"
Мороженое Эскимо Руби Магнат 70 г,мороженое,"(0, 9)"
Очиститель двигателя (спрей) 550мл  ТН-513  3TON,очиститель,"(0, 10)"
Антипригарный пергамент Чистюля для выпечки 5м,пергамент,"(14, 23)"
"691139 Картридж HP 655, желтый [cz112ae] 1,00 шт.",картридж,"(7, 15)"
Тетрадь 12 листов частая косая линейка 15,тетрадь,"(0, 7)"
"Чехол-флип кожзам Clever slideUP универсальный L 5,1-5,5"", к",чехол-флип,"(0, 10)"
"Микостоп крем-паста для ногтей 20 мл Зеленая Дубрава ЗАО (03.06.2021, 0321 0267, 01.03.2024)",крем-паста,"(9, 19)"
Майонез Mr. Ricco 67% Пер.яйцо 400мл д/п,майонез,"(0, 7)"
Трусики для девочки 6-10лет,трусики,"(0, 7)"
Бумага цветная А4 80г/м 50л 5цв неон 200019 KLERK,бумага,"(0, 6)"
"Хлеб из пшеничной муки ВЕЧЕРНИЙ 0,500 гр.(Ленинградская)",хлеб,"(0, 4)"
Окорок с/в Tello Иберико на ко,окорок,"(0, 6)"
ШАЙБА МЕДНАЯ-14 (завод) KАМАЗ  1/02800/60,шайба,"(0, 5)"
НАРОДНЫЕ РЕЦЕПТЫ Зуб/порошок н Шт,порошок,"(21, 28)"
"Гель-смазка Дюрекс Плей-Фил 50мл (5038483673690, ССЛ Интернэшнл Плс, <> [1])",гель-смазка,"(0, 11)"
"Фасоль печеная с баклажанами ""Пиканта"" 530 гр.",фасоль,"(0, 6)"
Сервелат Останкино Папа может! Зернистый в/к в/у 350г срез,сервелат,"(0, 8)"
2435244 [М] Обувь осень-зима-весна VAGAB,обувь,"(12, 17)"
Сгон ф 20,сгон,"(0, 4)"
Нож для газонокосилки HUSQVARNA LC56AWD (шт),нож,"(0, 3)"
Майонез Махеевъ Оливковый 67% 800 мл д/п,майонез,"(0, 7)"
Готовый завтрак Любятово Хлопья кукурузные 300гр м/у *9,хлопья,"(25, 31)"
Пюре ФрутоНяня груша д/п 1/90гр,пюре,"(0, 4)"
Туфли жен 18828-22 Paseo БОРДОВЫЙ 37,туфли,"(0, 5)"
Сушка Дымка стайка рыбок с чесноком 1кг,сушка,"(0, 5)"
Кеды Ralf Ringer LM080982800,кеды,"(0, 4)"
СИГАРЕТЫ ЯВА 100 ЗОЛОТАЯ КЛАССИЧЕСКАЯ МАРКИРОВКА ШТ,сигареты,"(0, 8)"
Пилотка МУЖ Пуговка 2112к-21 (58 защитный),пилотка,"(0, 7)"
"Черенок 120*2,1см окраш./металл VETTA 444-329",черенок,"(0, 7)"
Lezard Розетка с/у 2гн. керамика б/з бел/сер Мира 701-0215-128,розетка,"(7, 14)"
3) WK982-03X-62 ПОЛЗУНКИ ДЛЯ МЛАДЕНЦА,ползунки,"(16, 24)"
Молоко сгущ.цел. Тяжин 360гр с ключом БЗМЖ,молоко,"(0, 6)"
Прокладка уплотн. D62 шт,прокладка,"(0, 9)"
СырокГлазиров Белый Медведь Р Кокос _ 40г,сырок,"(0, 5)"
Смесь Перцев Мексикана 30гр Волшебное Дерево,смесь,"(0, 5)"
2 Лампа 12V W21/5W 21/5W NARVA 1 шт. картон 17919,лампа,"(2, 7)"
Рюкзак DKNY LM094322912,рюкзак,"(0, 6)"
Чаппи 1/85г мясн. изобилие,,"(0, 0)"
"Сырок ""Коровка из Кореновки"" творожный ваниль в молочном шоколаде",сырок,"(0, 5)"
"1501518 Кондиционер мобильный Royal Clima RM-BS28CH-E белый 1,00 шт.",кондиционер,"(8, 19)"
"ПРОСТОКВАШИНО ОТБОРНОЕ 930мл 3,5%",,"(0, 0)"
Насос шестеренчатый НШ32МПО с клапаном давления МАЗ-Евро Гидросила,насос,"(0, 5)"
Светильник ST1 WH штампов. MR16 белый ЭРА,светильник,"(0, 10)"
Платье Chic de Femme LM064023083,платье,"(0, 6)"
4630079563531                         Natura Siberica Гель,гель,"(54, 58)"
Лук репчатый свежего урожая,лук,"(0, 3)"
00027 пельмени экстра,пельмени,"(6, 14)"
Колбаса Молочная по-стародворски вес Стародворье,колбаса,"(0, 7)"
Конфета в асс. 1шт. 2 шт.,конфета,"(0, 7)"
Сумка хозяйственная наплечная складная,сумка,"(0, 5)"
10564 платье ярусы принт огурцы вырез V завязка вискоза 100% МЕЛАНЕРА,платье,"(6, 12)"
"Батончик протеиновый с зелёным чаем матча Fit Mix , 30 гр.",батончик,"(0, 8)"
"Соль Крымская д/ванн можжевельник 1,1кг",соль,"(0, 4)"
11002730 Тяга рулевая SASIC Renault Logan,,"(0, 0)"
2. Ванночка для краски 150х290мм 31801  ,ванночка,"(3, 11)"
"Мармелад ""Бургер""",мармелад,"(0, 8)"
"морс 0,5 ПЭТ смородина, Штука",морс,"(0, 4)"
"Пиво светлое Хамовники Пильзенское 0,47 л. ст",пиво,"(0, 4)"
Demix / 104429-99 34  Кроссовки детские для бега LIDER 2 B чёрный р. 34,кроссовки,"(22, 31)"
Лилия Пурпл Харт азиатский гибрид 2шт 14/16,лилия,"(0, 5)"
Масло моторное MOBIL Super 2000 X-1 10W40 1л,масло,"(0, 5)"
Вилка столовая Соната ЭИП н107,вилка,"(0, 5)"
Аромасвеча Сандал и замша 85г,аромасвеча,"(0, 10)"
АРАХИС В ГЛАЗУРИ п 640,арахис,"(0, 6)"
"Краска аэрозоль  RAL 9011  400мл (черная матов.) ""Kimtec""",краска,"(0, 6)"
"Капли н/х Стронгхолд  за 1 пип. 15(6% 0,25мл *3п) д/соб и кош.",капли,"(0, 5)"
"Йогурт питьевой Агуша клубника-банан 2,7 % 180 гр бут ВБД*",йогурт,"(0, 6)"
Доска Erhaft Hot Wheels Пиши-стирай DM0017,доска,"(0, 5)"
"Пластиковый хомут BN 4,8х430(100) 37708 (ед.изм. шт)",хомут,"(12, 17)"
"Чехол для одежды с прозрачной вставкой, малый, 60*100 см, ROMANTIC",чехол,"(0, 5)"
LAC1006C Фильтр салона LYNXauto,фильтр,"(9, 15)"
"Каравай сувенирный в/с 1,5",каравай,"(0, 7)"
Пиво Жигули Барное 0.45л ж/б безалкогольн.,пиво,"(0, 4)"
Булочка с маков нач 90г,булочка,"(0, 7)"
Платье Sela LM084319581,платье,"(0, 6)"
Sabbat E12 Ultra (Графит).,,"(0, 0)"
Батарейки GP LR3/24A 2шт Super,батарейки,"(0, 9)"
чай зеленый  Небесный храм,чай,"(0, 3)"
Сыр БЗМЖ Тильзитер Сваля 45%жир 125гр. /нарезка/,сыр,"(0, 3)"
ТАЙД 450г СМС (авт) - Колор Сибирские травы 1/22,,"(0, 0)"
"Эмаль Престиж ПФ-266 1,9 кг (Красно-корич)",эмаль,"(0, 5)"
00194272678859 : NIKE RENEW LUCENT (GS),,"(0, 0)"
Шапка Oldos LM078200294,шапка,"(0, 5)"
"Снежок  2,5% 470 г бзмж Вологжанка ПК ""ВМК""",снежок,"(0, 6)"
Карамель  петушок маленький,карамель,"(0, 8)"
Концентрированный универсальный гель для стирки сменный блок ATT,гель,"(32, 36)"
2034967000009 Ремень GATES 48357,ремень,"(14, 20)"
ТВОРОГ  РОСТАГРОЭКСПОРТ  ДОЙ-ПАК  5% 230Г.,творог,"(0, 6)"
СЫР ТВОРОЖ ALMETTE БЕЛЫЕ ГРИБЫ 150 ГР,сыр,"(0, 3)"
ВОДА ЛИПЕЦКИЙ ИСТОЧНИК НЕГАЗ 1.5Л,вода,"(0, 4)"
Наклейки Стикхант 12 Шайба Пуля,наклейки,"(0, 8)"
СЕРЬГИ ДИАМАНТ ЛЕЖЕ БЗ 2БР 0.05 КТ,серьги,"(0, 6)"
